Obj,Size,Stats,Default,MinDom,LowMin,BranGP-H,ClasGP-H,SVM-H,MLP-H,OptSol-H
\multirow{10}{*}{twt},\multirow{2}{*}{$6\times6$},mean,1.11e+03,1.10e+03,\bf{8.35e+02},\bf{7.47e+02},\bf{6.97e+02},\bf{7.47e+02},\bf{7.64e+02},6.80e+02
spaceX,spaceX,std,1.31e+03,1.25e+03,1.26e+03,1.02e+03,8.57e+02,9.09e+02,9.61e+02,7.76e+02
spaceX,\multirow{2}{*}{$7\times7$},mean,3.23e+03,3.27e+03,\bf{2.36e+03},\bf{2.13e+03},\bf{1.92e+03},\bf{2.04e+03},\bf{2.20e+03},2.29e+03
spaceX,spaceX,std,3.84e+03,2.83e+03,2.32e+03,2.46e+03,2.02e+03,2.39e+03,2.72e+03,3.10e+03
spaceX,\multirow{2}{*}{$8\times8$},mean,1.56e+04,1.40e+04,1.20e+04,1.14e+04,1.13e+04,1.07e+04,1.23e+04,1.11e+04
spaceX,spaceX,std,1.79e+04,1.40e+04,1.36e+04,1.40e+04,1.55e+04,1.21e+04,1.78e+04,1.39e+04
spaceX,\multirow{2}{*}{$9\times9$},mean,8.50e+04,7.11e+04,6.70e+04,5.85e+04,5.90e+04,5.64e+04,5.82e+04,6.15e+04
spaceX,spaceX,std,1.28e+05,9.48e+04,1.16e+05,1.08e+05,8.89e+04,9.98e+04,8.32e+04,9.50e+04
spaceX,\multirow{2}{*}{$10\times10$},mean,4.14e+05,3.69e+05,3.19e+05,3.19e+05,3.45e+05,3.52e+05,3.33e+05,3.34e+05
spaceX,spaceX,std,4.97e+05,4.74e+05,3.96e+05,4.34e+05,4.33e+05,4.94e+05,4.33e+05,3.87e+05
